sender,year,count
Jake Sullivan,2009,186
Jake Sullivan,2010,617
Jake Sullivan,2011,13
Jake Sullivan,2012,39
Cheryl Mills,2009,599
Cheryl Mills,2010,550
Cheryl Mills,2011,6
Cheryl Mills,2012,57
Hillary Clinton,2009,1486
Hillary Clinton,2010,935
Hillary Clinton,2011,10
Hillary Clinton,2012,87
Anne-Marie Slaughter,2009,3
Anne-Marie Slaughter,2010,119
Anne-Marie Slaughter,2011,0
Anne-Marie Slaughter,2012,0
Harold Hongju Koh,2009,6
Harold Hongju Koh,2010,20
Harold Hongju Koh,2011,0
Harold Hongju Koh,2012,0
Wendy Sherman,2009,4
Wendy Sherman,2010,0
Wendy Sherman,2011,0
Wendy Sherman,2012,8
Sidney Blumenthal,2009,64
Sidney Blumenthal,2010,155
Sidney Blumenthal,2011,0
Sidney Blumenthal,2012,7
Burns Strider,2009,0
Burns Strider,2010,4
Burns Strider,2011,0
Burns Strider,2012,0
Huma Abedin,2009,724
Huma Abedin,2010,777
Huma Abedin,2011,7
Huma Abedin,2012,1
Robert Russo,2009,10
Robert Russo,2010,20
Robert Russo,2011,0
Robert Russo,2012,0
Capricia Marshall,2009,9
Capricia Marshall,2010,8
Capricia Marshall,2011,0
Capricia Marshall,2012,4
William Burns,2009,2
William Burns,2010,4
William Burns,2011,0
William Burns,2012,1
Monica Hanley,2009,4
Monica Hanley,2010,16
Monica Hanley,2011,0
Monica Hanley,2012,11
Daniel Schwerin,2009,2
Daniel Schwerin,2010,7
Daniel Schwerin,2011,0
Daniel Schwerin,2012,4
Philippe Reines,2009,81
Philippe Reines,2010,74
Philippe Reines,2011,0
Philippe Reines,2012,6
Melanne Verveer,2009,35
Melanne Verveer,2010,41
Melanne Verveer,2011,0
Melanne Verveer,2012,0
Claire Coleman,2009,3
Claire Coleman,2010,2
Claire Coleman,2011,0
Claire Coleman,2012,1
Lona Valmoro,2009,135
Lona Valmoro,2010,102
Lona Valmoro,2011,0
Lona Valmoro,2012,2
Thomas Nides,2009,0
Thomas Nides,2010,0
Thomas Nides,2011,0
Thomas Nides,2012,0
Victoria Nuland,2009,0
Victoria Nuland,2010,0
Victoria Nuland,2011,0
Victoria Nuland,2012,2
Maria Otero,2009,0
Maria Otero,2010,7
Maria Otero,2011,0
Maria Otero,2012,0
Judith McHale,2009,0
Judith McHale,2010,121
Judith McHale,2011,0
Judith McHale,2012,0
Alec,2009,0
Alec,2010,0
Alec,2011,0
Alec,2012,0
Lauren Jiloty,2009,125
Lauren Jiloty,2010,206
Lauren Jiloty,2011,0
Lauren Jiloty,2012,0
Neera Tanden,2009,3
Neera Tanden,2010,1
Neera Tanden,2011,0
Neera Tanden,2012,0
James Steinberg,2009,3
James Steinberg,2010,2
James Steinberg,2011,0
James Steinberg,2012,0
Cherie Blair,2009,11
Cherie Blair,2010,4
Cherie Blair,2011,0
Cherie Blair,2012,0
Thomas Shannon,2009,2
Thomas Shannon,2010,0
Thomas Shannon,2011,0
Thomas Shannon,2012,0
Jackie Newmyer,2009,8
Jackie Newmyer,2010,0
Jackie Newmyer,2011,0
Jackie Newmyer,2012,0
Barbara Mikulski,2009,5
Barbara Mikulski,2010,3
Barbara Mikulski,2011,0
Barbara Mikulski,2012,0
Patrick Kennedy,2009,0
Patrick Kennedy,2010,0
Patrick Kennedy,2011,0
Patrick Kennedy,2012,0
Robert Danford,2009,0
Robert Danford,2010,0
Robert Danford,2011,0
Robert Danford,2012,0
Lissa Muscatine,2009,28
Lissa Muscatine,2010,61
Lissa Muscatine,2011,0
Lissa Muscatine,2012,0
Long Term Strategy Group,2009,0
