activity	time	p	p_peak	p_smooth
Running	1440	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1440	0	0	0
Weightlifting/strength training	1440	8.02E-05	0.050097292	0.050097292
Hiking	1440	0	0	0
Biking	1440	7.22E-06	0.008701753	0.008701753
Walking	1440	1.26E-04	0.027177701	0.027177701
Using cardiovascular equipment	1440	1.06E-04	0.07931645	0.07931645
Participating in water sports	1440	2.24E-05	0.006983735	0.006983735
Playing basketball	1440	1.76E-05	0.008436797	0.008436797
"Working out, unspecified"	1440	1.15E-04	0.033193535	0.033193535
"Skiing, ice skating, snowboarding"	1440	1.82E-06	0.003775409	0.003775409
Doing yoga	1440	2.65E-06	0.006200037	0.006200037
Playing billiards	1440	4.21E-04	0.513425429	0.513425429
Fishing	1440	1.33E-04	0.079832658	0.079832658
Dancing	1440	6.27E-04	0.841405766	0.841405766
Playing football	1440	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1440	3.16E-05	0.078760652	0.078760652
Softball	1440	0	0	0
Playing soccer	1440	0	0	0
Doing aerobics	1440	1.03E-05	0.016785181	0.016785181
Hunting	1440	3.98E-05	0.036643655	0.036643655
Participating in martial arts	1440	0	0	0
Bowling	1440	1.23E-04	0.099709458	0.099709458
Rollerblading	1440	2.56E-05	0.080469412	0.080469412
Golfing	1440	1.78E-05	0.007606589	0.007606589
Playing volleyball	1440	0	0	0
Boating	1440	2.23E-05	0.033144835	0.033144835
Playing baseball	1440	0	0	0
Running	1445	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1445	0	0	0
Weightlifting/strength training	1445	3.88E-05	0.024256622	0.033252198
Hiking	1445	0	0	0
Biking	1445	2.71E-06	0.003269747	0.005080416
Walking	1445	7.67E-05	0.016590096	0.01988802
Using cardiovascular equipment	1445	7.61E-05	0.057084376	0.059767072
Participating in water sports	1445	1.78E-05	0.005548952	0.006027213
Playing basketball	1445	1.90E-05	0.009114714	0.008888741
"Working out, unspecified"	1445	6.82E-05	0.01962237	0.02462378
"Skiing, ice skating, snowboarding"	1445	0	0	0.00125847
Doing yoga	1445	0	0	0.002066679
Playing billiards	1445	3.24E-04	0.395079296	0.436270204
Fishing	1445	1.18E-04	0.070654242	0.073713714
Dancing	1445	5.58E-04	0.748850552	0.78593382
Playing football	1445	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1445	2.78E-05	0.069232906	0.072408821
Softball	1445	0	0	0
Playing soccer	1445	0	0	0
Doing aerobics	1445	1.03E-05	0.016785181	0.016785181
Hunting	1445	3.59E-05	0.033076008	0.034265224
Participating in martial arts	1445	0	0	0
Bowling	1445	9.34E-05	0.075760203	0.083743288
Rollerblading	1445	1.28E-05	0.040234706	0.053646275
Golfing	1445	1.68E-05	0.007148072	0.007300911
Playing volleyball	1445	0	0	0
Boating	1445	2.02E-05	0.029966049	0.031025644
Playing baseball	1445	0	0	0
Running	1450	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1450	0	0	0
Weightlifting/strength training	1450	4.07E-05	0.025402681	0.023968805
Hiking	1450	0	0	0
Biking	1450	2.71E-06	0.003269747	0.003269747
Walking	1450	7.35E-05	0.015896264	0.015943215
Using cardiovascular equipment	1450	5.72E-05	0.042900391	0.046372638
Participating in water sports	1450	1.78E-05	0.005548952	0.005548952
Playing basketball	1450	1.90E-05	0.009114714	0.009114714
"Working out, unspecified"	1450	7.32E-05	0.021055436	0.019679521
"Skiing, ice skating, snowboarding"	1450	0	0	0
Doing yoga	1450	0	0	0.00293383
Playing billiards	1450	3.28E-04	0.400305889	0.396362473
Fishing	1450	1.18E-04	0.070654242	0.069237052
Dancing	1450	5.72E-04	0.767545144	0.762535117
Playing football	1450	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1450	2.78E-05	0.069232906	0.069232906
Softball	1450	0	0	0
Playing soccer	1450	0	0	0
Doing aerobics	1450	1.03E-05	0.016785181	0.016785181
Hunting	1450	3.59E-05	0.033076008	0.032350173
Participating in martial arts	1450	0	0	0
Bowling	1450	9.34E-05	0.075760203	0.075760203
Rollerblading	1450	1.28E-05	0.040234706	0.040234706
Golfing	1450	1.68E-05	0.007148072	0.007148072
Playing volleyball	1450	0	0	0
Boating	1450	2.02E-05	0.029966049	0.029966049
Playing baseball	1450	0	0	0
Running	1455	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1455	0	0	0
Weightlifting/strength training	1455	3.56E-05	0.02224711	0.022654832
Hiking	1455	0	0	0
Biking	1455	2.71E-06	0.003269747	0.003269747
Walking	1455	7.09E-05	0.015343286	0.014550816
Using cardiovascular equipment	1455	5.22E-05	0.039133147	0.039215737
Participating in water sports	1455	1.78E-05	0.005548952	0.005548952
Playing basketball	1455	1.90E-05	0.009114714	0.009114714
"Working out, unspecified"	1455	6.38E-05	0.018360759	0.0199504
"Skiing, ice skating, snowboarding"	1455	0	0	0
Doing yoga	1455	3.76E-06	0.00880149	0.00586766
Playing billiards	1455	3.23E-04	0.393702235	0.390658334
Fishing	1455	1.11E-04	0.066402671	0.067819862
Dancing	1455	5.75E-04	0.771209655	0.762402643
Playing football	1455	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1455	2.78E-05	0.069232906	0.069232906
Softball	1455	0	0	0
Playing soccer	1455	0	0	0
Doing aerobics	1455	1.03E-05	0.016785181	0.016785181
