,sender,senderId,sentmails,value
0,Jake Sullivan,87,961,80
1,Cheryl Mills,32,1410,80
2,Hillary Clinton,80,2744,120
3,Anne-Marie Slaughter,10,144,55
4,Harold Hongju Koh,77,28,30
5,Wendy Sherman,213,17,20
6,Sidney Blumenthal,194,375,70
7,Burns Strider,21,5,10
8,Huma Abedin,81,1631,90
9,Robert Russo,185,32,30
10,Capricia Marshall,22,27,30
11,William Burns,216,10,10
12,Monica Hanley,150,34,30
13,Daniel Schwerin,48,14,20
14,Philippe Reines,170,198,55
15,Melanne Verveer,143,103,40
16,Claire Coleman,38,8,10
17,Lona Valmoro,124,248,55
18,Thomas Nides,201,1,1
19,Victoria Nuland,209,3,10
20,Maria Otero,135,9,10
21,Judith McHale,105,133,55
22,Alec,5,1,1
23,Lauren Jiloty,116,367,70
24,Neera Tanden,153,7,10
25,James Steinberg,90,6,10
26,Cherie Blair,30,26,30
27,Thomas Shannon,202,3,10
28,Jackie Newmyer,85,10,10
29,Barbara Mikulski,15,12,20
30,Patrick Kennedy,163,1,1
31,Robert Danford,183,1,1
32,Lissa Muscatine,122,102,40
33,Long Term Strategy Group,125,1,1
34,Strobe Talbott,196,38,30
35,David Johnson,53,2,10
36,Lee Brown,118,2,10
37,Lee Feinstein,119,1,1
38,"Samuel (""Sandy"") Berger",191,9,10
39,Jeffrey Farrow,93,13,20
40,Kris Balderston,112,27,30
41,Richard Verma,180,156,55
42,postmaster@state.gov,225,7,10
43,Colin Powell,39,1,1
44,Kurt Campbell,113,22,20
45,David Axelrod,50,2,10
46,John Podesta,100,2,10
47,David Garten,52,1,1
48,Caroline Adler,24,2,10
49,Andrew Shapiro,9,7,10
50,Derek Chollet,56,1,1
51,Thomas Donilon,200,1,1
52,Jacob Lew,86,23,20
53,G. Lou de Bac,70,1,1
54,Laurie Rubiner,117,1,1
55,Danielle Brian,49,2,10
56,Werner Ilic,214,1,1
57,Phillip Crowley,171,6,10
58,Jeffrey Feltman,94,23,20
59,PVervee,162,2,10
60,Philip Crowley,168,18,20
61,George Mitchell,72,6,10
62,Michael Fuchs,144,15,20
63,Prime Minister,173,1,1
64,STATE,190,2,10
65,Paul Jones,165,2,10
66,Philip Gordon,169,6,10
67,Miguel Rodriguez,148,10,10
68,Christopher Hill,37,1,1
69,M. Albright,131,1,1
70,Max Baucus,141,1,1
71,Linda Dewan,120,1,1
72,Ellen Tauscher,63,10,10
73,Gina Glantz,73,2,10
74,Voda Ebeling,210,8,10
75,Arturo Valenzuela,12,9,10
76,Nora Tov,157,1,1
77,Daniel Baer,46,7,10
78,Reta Jo Lewis,178,2,10
79,Johnnie Carson,101,1,1
80,Nora Toiv,156,5,10
81,KPK,107,2,10
82,Todd Stern,204,5,10
83,Rajiv Shah,174,1,1
84,Robert Hormats,184,1,1
85,Michael Posner,145,1,1
86,Haiti,75,5,10
87,Betsy Ebeling,16,37,30
88,Craig Kelly,42,3,10
89,Recos,175,1,1
90,Christopher Butzgy,34,1,1
91,Case Button,25,1,1
92,Mike,149,2,10
93,Esther Brimmer,66,1,1
94,Megan Rooney,142,11,20
95,Courtney Beale,41,5,10
96,Tomicah Tillemann,205,9,10
97,James McGovern,88,1,1
98,Robert Blake,182,1,1
99,Maura Pally,140,2,10
100,Luis CdeBaca,128,1,1
101,Susan Rice,197,3,10
102,Reines Philippe,176,1,1
103,Tsakina Elbegdori,206,1,1
104,New York Times,154,1,1
105,rooneym@state.gov,226,1,1
106,Zachary Iscol,218,1,1
107,Samuel Berger,192,4,10
108,Jonathan Prince,102,1,1
109,Lois Quam,123,3,10
110,Joanne Laszczych,98,4,10
111,Eric Woodard,65,1,1
112,Daniel Inonye,47,1,1
113,Joshua Daniel,103,6,10
114,American Beverage Association,7,1,1
115,aclb,219,3,10
116,Maria Calivis,134,1,1
117,Anthony Lake,11,1,1
118,Madeleine Albright,132,1,1
119,James Smith,89,1,1
120,Piper Campbell,172,1,1
121,Dana Hyde,44,1,1
122,alcb,220,5,10
123,Chelsea Clinton,29,4,10
124,David Miliband,54,1,1
